"product.productid","product.total_amount","product.total_quantity","product.total_customer"
"46777","135.0","1","1"
"46896","58.5","1","1"
"46904","300.920013428","5","4"
"46908","69.9899978638","1","1"
"46934","119.0","1","1"
"47031","450.0","1","1"
"47042","33.0","1","1"
"47183","898.510009766","10","10"
"47202","627.5","7","6"
"47218","139.0","1","1"
"47220","204.899993896","1","1"
"47472","73.5999984741","1","1"
"47487","109.0","1","1"
"47635","48.75","1","1"
"47708","34.9000015259","1","1"
"47719","40.9899978638","2","2"
"47738","1358.81994629","4","4"
"47753","14.9899997711","1","1"
"47801","51.0","1","1"
"47802","60.0","1","1"
"47827","183.0","1","1"
"47878","70.0","1","1"
"47880","388.75","6","5"
"47974","90.0","1","1"
"48071","86.25","1","1"
"48075","81.75","1","1"
"48767","89.9000015259","1","1"
"48805","43.2000007629","1","1"
"48919","192.5","2","2"
"49073","596.25","2","2"
"49419","370.5","4","4"
"49422","75.0","1","1"
"49478","179.919998169","2","1"
"49514","129.899993896","2","2"
"49632","280.0","1","1"
"49768","1082.07006836","5","3"
"49771","258.720001221","4","3"
"50079","66.0","1","1"
"50083","96.0","1","1"
"50099","93.75","1","1"
"50389","107.779998779","1","1"
"50431","58.2000007629","2","2"
"50434","85.0","1","1"
"50437","59.9199981689","1","1"
"50513","1035.0","3","3"
"50517","93.75","1","1"
"50522","134.990005493","1","1"
"51275","475.5","2","2"
"51414","208.5","2","2"
"51528","160.0","1","1"
"51596","201.75","1","1"
"51667","89.25","1","1"
"52164","96.5","1","1"
"52180","109.0","1","1"
"52790","45.0","1","1"
"52801","31.5","1","1"
"52867","47.5","1","1"
"52942","28.7000007629","1","1"
"52954","232.5","1","1"
"53065","32.0","1","1"
"53140","3211.37011719","18","18"
"53224","221.5","1","1"
"53342","51.75","1","1"
"53357","29.8999996185","1","1"
"53482","101.400001526","1","1"
"53540","181.5","2","2"
"53604","51.75","1","1"
"53606","41.25","1","1"
"53870","270.0","3","3"
"53953","35.4000015259","1","1"
"53954","41.3400001526","1","1"
"54012","59.6999969482","3","3"
"54029","18.75","1","1"
"54153","207.25","3","3"
"54154","89.25","1","1"
"54180","19.8999996185","1","1"
"54256","8.5","1","1"
"54259","90.0","6","5"
"54665","135.990005493","4","4"
"54667","145.0","4","4"
"54776","1014.09997559","8","8"
"54858","217.0","2","2"
"54871","170.0","2","2"
"54873","115.0","1","1"
"54921","112.5","1","1"
"54945","239.989990234","2","2"
"54994","259.0","1","1"
"54997","64.9899978638","1","1"
"55004","34.9000015259","1","1"
"55126","1151.5","84","84"
"55131","68.25","1","1"
"55200","95.6999969482","4","4"
"55337","375.0","1","1"
"55628","218.739990234","2","2"
"55830","873.380004883","10","10"
"55846","135.0","1","1"
"55847","70.0","1","1"
"55859","63.75","1","1"
"55867","67.5","1","1"
"55884","56.25","1","1"
"55959","47.4000015259","1","1"
"55977","322.5","1","1"
"55995","117.519996643","1","1"
"56103","199.0","1","1"
"56136","37.5","1","1"
"56143","190.0","1","1"
"56274","34.5","1","1"
"56517","44.9199981689","1","1"
"56551","90.0","1","1"
"56583","180.0","2","2"
"56584","210.0","2","2"
"56649","96.75","1","1"
"56706","131.25","1","1"
"56870","545.0","1","1"
"56977","112.5","2","1"
"57026","111.75","1","1"
"57424","95.0","1","1"
"57648","59.9900016785","1","1"
"57675","104.919998169","1","1"
"57682","82.5","1","1"
"58016","93.75","1","1"
"58030","159.0","1","1"
"58058","168.75","1","1"
"58113","99.9899978638","1","1"
"58129","86.3000030518","2","2"
"58134","63.2000007629","1","1"
"58153","119.919998169","1","1"
"58175","129.899993896","1","1"
"58186","781.0","6","6"
"58187","101.25","1","1"
"58262","110.0","1","1"
"58462","198.0","2","2"
"58581","75.0","1","1"
"58604","65.6999969482","1","1"
"58862","239.779998779","2","2"
"58867","371.239990234","4","4"
"58870","125.0","1","1"
"58902","96.75","1","1"
"58911","347.5","3","3"
"58915","96.75","1","1"
"58987","892.0","1","1"
"59157","437.91998291","5","5"
"59162","56.25","1","1"
"59266","104.25","1","1"
"59322","384.0","6","5"
"59323","155.75","2","2"
"59343","130.5","2","2"
"59371","1682.72998047","14","14"
"59375","75.1999969482","1","1"
"59444","147.489990234","2","2"
"59451","65.0","1","1"
"59547","89.0","1","1"
"59609","56.25","1","1"
"59614","166.5","1","1"
"59646","307.5","18","18"
"59693","97.5","1","1"
"59700","149.25","1","1"
"59712","149.25","1","1"
"59747","94.5","1","1"
"59767","45.0","1","1"
"59867","53.25","1","1"
"59963","89.9000015259","1","1"
"60015","161.229995728","2","2"
"60133","196.0","5","5"
"60223","120.0","1","1"
"60285","36.0","1","1"
"60313","113.25","1","1"
"60321","135.0","1","1"
"60423","69.8000030518","2","2"
"60549","36.0","1","1"
"60620","33.0","1","1"
"60622","116.589996338","4","4"
"60698","595.0","1","1"
"60762","141.75","1","1"
"60789","149.25","1","1"
"60865","140.0","2","2"
"60868","192.5","2","2"
"60871","70.0","1","1"
"60872","281.229980469","4","4"
"60874","41.25","1","1"
"60880","126.0","2","2"
"60891","143.759994507","2","2"
"60934","59.5","1","1"
"60998","74.9199981689","1","1"
"61005","135.0","2","2"
"61161","760.0","1","1"
"61321","30.0","1","1"
"61348","349.980010986","2","2"
"61354","125.0","1","1"
"61355","288.75","2","2"
"61407","99.9000015259","1","1"
"61473","376.33001709","8","8"
"61486","255.75","1","1"
"61520","96.75","1","1"
"61566","75.0","1","1"
"61591","120.0","1","1"
"61604","97.5","1","1"
"61702","180.0","1","1"
"61705","255.75","2","2"
"61712","94.8700027466","1","1"
"61714","55.0","1","1"
"61755","79.9000015259","1","1"
"61805","195.279998779","2","2"
"61808","709.849975586","1","1"
"61863","193.5","1","1"
"61883","120.0","1","1"
"61911","434.0","5","5"
"61928","43.5","1","1"
"61940","140.0","2","2"
"61943","158.5","2","2"
"61946","1012.0","6","6"
"61954","234.0","4","4"
"61985","208.5","2","1"
"62055","33.75","1","1"
"62056","74.8199996948","1","1"
"62187","89.0","1","1"
"62371","289.970001221","3","2"
"62378","45.2000007629","1","1"
"62463","131.25","1","1"
"62475","514.640014648","4","4"
"62489","162.0","3","2"
"62518","92.0","1","1"
"62616","86.25","1","1"
"62636","96.75","1","1"
"62637","243.25","2","2"
"62644","148.899993896","1","1"
"62671","38.4000015259","1","1"
"62694","129.0","1","1"
"62695","108.75","1","1"
"62696","2532.14990234","2","2"
"62701","112.5","1","1"
"62703","479.989990234","4","4"
"62707","175.0","1","1"
"62710","111.75","1","1"
"62719","93.0","1","1"
"62728","164.0","1","1"
"62729","99.0","1","1"
"62734","118.5","1","1"
"62736","108.75","1","1"
"62809","1074.0","4","4"
"62811","90.0","1","1"
"62913","44.0","1","1"
"62951","59.9199981689","1","1"
"62964","85.0","1","1"
"62970","89.9000015259","1","1"
"62971","149.800003052","2","2"
"62986","150.0","1","1"
"63046","47.2399978638","2","2"
"63051","19.5","1","1"
"63227","427.5","1","1"
"63589","581.75","4","4"
"63594","104.25","1","1"
"63742","260.0","2","2"
"63794","130.0","1","1"
"63808","2266.66992188","21","20"
"63811","190.0","1","1"
"63814","1404.0","3","3"
"63823","375.0","3","3"
"63838","120.0","1","1"
"63844","1089.5","3","3"
"63887","41.25","1","1"
"64129","195.0","1","1"
"64170","2973.0","10","10"
"64193","149.0","1","1"
"64200","306.989990234","3","2"
"64210","218.0","2","2"
"64239","44.25","1","1"
"64270","52.5","1","1"
"64282","52.5","1","1"
"64320","75.0","1","1"
"64498","101.160003662","4","4"
"64517","31.0","1","1"
"64543","402.5","4","4"
