"customer.customerid","customer.dominant_gender","customer.dominant_size","customer.last_purchase_date"
"10831335","Sacs","T.U","2015-11-01 13:17:04.0"
"10835749","Femme","38","2015-11-01 20:59:07.0"
"10839318","Femme","41 1/2","2015-11-01 21:44:09.0"
"10842787","Enfant","38","2015-11-01 17:08:05.0"
"10843966","Femme","37","2015-11-01 18:47:07.0"
"10857417","Femme","T.U","2015-11-01 14:10:00.0"
"10859728","Femme","38","2015-11-01 22:47:09.0"
"10860454","Homme","46","2015-11-01 21:08:16.0"
"10863855","Femme","38","2015-11-01 16:55:15.0"
"10867325","Femme","38","2015-11-01 16:55:00.0"
"10869852","Femme","40","2015-11-01 12:22:15.0"
"10875458","Femme","40","2015-11-01 18:16:04.0"
"10885070","Femme","38","2015-11-01 21:58:09.0"
"10887779","Femme","39","2015-11-01 12:24:02.0"
"10896175","Femme","40","2015-11-01 15:43:02.0"
"10903038","Femme","38","2015-11-01 15:57:14.0"
"10903412","Femme","39","2015-11-01 16:47:03.0"
"10905115","Femme","37","2015-11-01 13:19:19.0"
"10906482","Femme","39","2015-11-01 14:13:13.0"
"10908485","Enfant","35","2015-11-01 17:38:10.0"
"10908958","Femme","39","2015-11-01 21:45:07.0"
"10908971","Enfant","28 1/2","2015-11-01 22:56:19.0"
"10912311","Homme","45","2015-11-01 20:55:03.0"
"10914051","Femme","38","2015-11-01 19:39:07.0"
"10917736","Femme","38","2015-11-01 20:18:11.0"
"10918251","Femme","40","2015-11-01 16:27:10.0"
"10922502","Homme","43 - 46","2015-11-01 21:52:16.0"
"10923148","Femme","41","2015-11-01 19:17:11.0"
"10924661","Femme","38","2015-11-01 20:08:02.0"
"10924706","Femme","37","2015-11-01 09:37:18.0"
"10927442","Enfant","20 - 21","2015-11-01 12:58:19.0"
"10928600","Homme","43","2015-11-01 11:13:19.0"
"10933591","Homme","41","2015-11-01 18:41:13.0"
"10937359","Femme","39","2015-11-01 11:59:03.0"
"10941395","Femme","39","2015-11-01 22:59:04.0"
"10942420","Femme","41","2015-11-01 15:12:03.0"
"10944716","Femme","39","2015-11-01 15:58:00.0"
"10944820","Femme","37","2015-11-01 21:30:10.0"
"10946513","Enfant","36","2015-11-01 19:45:19.0"
"10948013","Femme","38","2015-11-01 22:36:11.0"
"10949915","Femme","39","2015-11-01 09:48:12.0"
"10950186","Femme","38","2015-11-01 16:43:09.0"
"10952465","Homme","43","2015-11-01 11:56:10.0"
"10954113","Homme","42 2/3","2015-11-01 21:23:15.0"
"10956074","Femme","40","2015-11-01 20:07:05.0"
"10958433","Femme","36","2015-11-01 07:41:16.0"
"10960421","Femme","39","2015-11-01 22:55:13.0"
"10961200","Enfant","35","2015-11-01 14:30:01.0"
